tile_filename,source_product,tile_x,tile_y,center_lat,center_lon,std_dev,prox_score,mean_pixel,std_norm,priority_score
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x08960_y03200.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,8960,3200,-70.586832,22.800887,56.303,0.0,109.96,0.21747458752617863,0.087
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x09600_y03200.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,9600,3200,-70.586707,22.816538,61.42,0.0,153.73,0.2828191244828115,0.1131
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10240_y03200.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10240,3200,-70.586582,22.832195,58.965,0.0,140.91,0.2514685600449507,0.1006
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x10880_y03200.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,10880,3200,-70.586454,22.84786,59.82,0.0,91.76,0.2623869847269755,0.105
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x11520_y03200.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,11520,3200,-70.586326,22.863531,83.231,0.0,54.83,0.5613474996168973,0.2245
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00000_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,0,3840,-70.593752,22.582802,60.153,0.0,42.8,0.26663942381365885,0.1067
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x00640_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,640,3840,-70.593647,22.598361,59.842,0.0,58.51,0.26266792664861827,0.1051
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01280_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1280,3840,-70.59354,22.613926,52.016,0.0,48.96,0.16272922306788573,0.0651
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x01920_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,1920,3840,-70.593432,22.629499,55.701,0.0,45.76,0.2097869949430454,0.0839
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x02560_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,2560,3840,-70.593323,22.645078,62.217,0.0,41.61,0.2929968840986872,0.1172
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03200_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3200,3840,-70.593212,22.660665,56.397,0.0,39.06,0.218674975736834,0.0875
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x03840_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,3840,3840,-70.5931,22.676258,60.558,0.0,35.56,0.2718113091893548,0.1087
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x04480_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,4480,3840,-70.592987,22.691857,56.207,0.0,45.51,0.21624865914082853,0.0865
ch2_ohr_ncp_20190906T2241285714_d_img_gds_x05120_y03840.png,ch2_ohr_ncp_20190906T2241285714_d_img_gds,5120,3840,-70.592872,22.707464,67.262,0.0,25.99,0.3574219747663074,0.143
